Renorun SKU,Feb 4,Feb 11,Feb 18,Feb 25,Mar 4,Mar 11,Mar 18,Mar 25,Apr 1,Apr 8,Apr 15,Apr 22,Apr 29,May 6,May 13,May 20,May 27,Jun 3,Jun 10,Jun 17,Jun 24,Jul 1,Jul 8,Jul 15
1000005877,0,0,0,0,0,0,0,120,120,120,120,8,8,0,900,900,936,655,0,480,480,1350,1294,1294
1000002652,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480
1102000739,582,519,519,479,437,375,648,650,600,553,502,486,462,424,374,342,342,457,456,477,477,414,392,328
1000001325,108,108,96,96,89,70,70,100,100,457,457,737,737,767,767,767,647,602,517,467,467,467,467,459
1205000976,44,43,35,20,0,0,60,52,38,18,8,8,0,0,0,0,0,0,226,457,457,409,395,349
1101000662,953,868,830,684,585,496,412,379,303,257,77,506,414,358,276,411,556,494,495,457,457,92,400,219
1501000775,184,184,157,136,119,172,109,368,312,246,149,25,120,399,557,462,432,397,466,448,448,125,125,125
1000001326,124,124,124,124,200,200,200,200,177,177,177,302,302,302,280,280,280,280,455,435,435,435,435,399
1401000171,105,105,105,414,397,677,675,670,667,667,666,649,643,635,609,604,567,556,549,434,434,382,360,363
1306000599,97,86,860,830,810,772,760,748,724,713,703,673,642,618,603,488,476,460,442,433,433,116,98,42
1801001290,632,632,602,602,602,467,467,467,467,467,467,467,461,461,461,434,428,427,452,432,432,418,418,418
1000001324,175,175,175,175,175,175,175,175,175,578,524,799,799,799,799,599,499,499,450,432,432,614,594,618
1801000274,102,100,17,0,0,0,123,116,71,444,444,417,360,342,223,135,91,463,438,424,424,369,313,217
1101000649,145,135,65,92,149,217,217,208,201,290,258,205,196,146,113,102,74,60,34,420,420,0,168,134
1002000082,0,0,0,0,0,0,0,0,0,96,96,96,96,77,77,1107,979,735,560,418,418,212,207,191
1000005771,0,0,0,0,0,0,0,540,540,525,507,483,390,390,390,540,479,749,428,416,416,302,301,270
1302000597,583,454,345,240,111,393,281,173,231,87,184,42,6,215,184,445,351,267,507,408,408,55,18,61
1001000075,371,228,183,108,108,104,160,91,199,305,235,149,183,118,112,524,512,491,428,399,399,399,354,350
